Unnamed: 0,index,Start,Min,GT,ID,alpha,noise_level,iterations,alpha_hat
130.0,40,500.75457374070953,500.7238733790903,500.75457374070953,No noise,0.04,0.0,3000,0.04
131.0,41,531.8108991637664,531.7497847296438,531.8108991637664,No noise,0.04,0.0,3000,0.04
132.0,42,559.8892262223491,559.7980453552475,559.8892262223491,No noise,0.04,0.0,3000,0.04
133.0,43,584.1132107259527,583.9945274071039,584.1132107259527,No noise,0.04,0.0,3000,0.04
134.0,44,603.6918188297433,603.5498341660564,603.6918188297433,No noise,0.04,0.0,3000,0.04
135.0,45,617.9763429867526,617.819358832102,617.9763429867526,No noise,0.04,0.0,3000,0.04
136.0,46,626.5095783323662,626.3432875295985,626.5095783323662,No noise,0.04,0.0,3000,0.04
137.0,47,629.0608683035642,628.8933900083886,629.0608683035642,No noise,0.04,0.0,3000,0.04
138.0,48,625.6418252043877,625.4812817169362,625.6418252043877,No noise,0.04,0.0,3000,0.04
139.0,49,616.5009137242414,616.354656376998,616.5009137242414,No noise,0.04,0.0,3000,0.04
140.0,50,602.098139364266,601.9731686114958,602.098139364266,No noise,0.04,0.0,3000,0.04
141.0,51,583.0633960244112,582.9639179277273,583.0633960244112,No noise,0.04,0.0,3000,0.04
